SubKind	ParentKind	Level	FinishCount	NeedPush	ListType	Title	Desc	Award	AwardTitle
WhiteTiger_1	WhiteTiger	1	1			Thám Thính Bạch Hổ Đường	Vào Bạch Hổ Đường 1	Gold|10	
WhiteTiger_2	WhiteTiger	2	1			Dũng Sĩ Bạch Hổ Đường	Trong Bạch Hổ Đường đánh bại 1 người	Gold|10	
WhiteTiger_3	WhiteTiger	3	1			Chạm trán kẻ thù ai mạnh sẽ thắng	Vượt Bạch Hổ Đường 4	Gold|20	
WhiteTiger_2	WhiteTiger	4	100			Cuồng Bạo Thành Tính	Trong Bạch Hổ Đường đánh bại 100 người	Gold|50	
WhiteTiger_2	WhiteTiger	5	500			Thợ Săn Bạch Hổ Đường	Trong Bạch Hổ Đường đánh bại 500 người	Gold|100	1055
KinEscort_1	KinEscort	1	1			Hành Tẩu Giang Hồ	Tham gia Vận Tiêu Bang Hội thành công 1 lần	Gold|10	
KinEscort_2	KinEscort	2	1			Đạo Tặc!	Vận Tiêu Bang Hội đoạt 1 Hàng Hóa Rơi	Gold|10	
KinEscort_3	KinEscort	3	1			Vô Giá	Hộ tống 1 Tiêu Xa Tím trở lên đến đích	Gold|20	
KinEscort_4	KinEscort	4	30			Giang Hồ	Hộ tống 30 Tiêu Xa về đích thành công	Gold|30	
KinEscort_4	KinEscort	5	100			Tiêu Hành Thiên Hạ	Hộ tống 100 Tiêu Xa về đích thành công	Gold|100	1059
HighCangbaotu_1	HighCangbaotu	1	1			Tàng Bảo Đồ-Cao	Đào Tàng Bảo Đồ-Cao thành công 1 lần	Gold|20	
HighCangbaotu_2	HighCangbaotu	2	1			Bị Bao Vây	Đào Tàng Bảo Đồ-Cao xuất hiện Đoạt Bảo Tặc	Gold|20	
HighCangbaotu_3	HighCangbaotu	3	1			Nhận Bí Kíp	Đào Tàng Bảo Đồ-Cao nhận được Bí Kíp Võ Lâm	Gold|30	
HighCangbaotu_4	HighCangbaotu	4	1			Thần Binh Bổn Mạng	Đào Tàng Bảo Đồ-Cao nhận được Thần Binh Bổn Mạng Đồng Hành	Gold|40	
HighCangbaotu_5	HighCangbaotu	5	1			Thủ Lĩnh!	Đào Tàng Bảo Đồ-Cao xuất hiện Thủ Lĩnh	Gold|50	
PkExcercise_1	PkExcercise	1	1			Tỉ Thí Nào	Tỷ thí cùng người khác	Gold|5	
RedBag_1	RedBag	1	1			Lì Xì May Mắn!	Phát Lì Xì lần đầu	Gold|10	
Friend_1	Friend	1	1			Xã Giao	Độ thân mật cùng 1 hảo hữu đạt Lv5	Gold|10	
Friend_2	Friend	2	1			Giao Tình	Độ thân mật cùng 1 hảo hữu đạt Lv10	Gold|30	
Friend_3	Friend	3	1			Chân Thành	Độ thân mật cùng 1 hảo hữu đạt Lv20	Gold|50	
Friend_4	Friend	4	1			Tri Kỷ	Độ thân mật cùng 1 hảo hữu đạt Lv30	Gold|100	
Friend_5	Friend	5	1			Sinh Tử	Độ thân mật cùng 1 hảo hữu đạt Lv40	Gold|300	
KinFuben_1	KinFuben	1	1			Bắt Đầu Thí Luyện	Tham gia 1 lần Thí Luyện Bang Hội	Gold|10	
KinFuben_1	KinFuben	2	2			Tiếp Tục Thí Luyện	Tham gia 2 lần Thí Luyện Bang Hội	Gold|20	
KinFuben_1	KinFuben	3	4			Luyện Binh	Tham gia 4 lần Thí Luyện Bang Hội	Gold|30	
KinFuben_1	KinFuben	4	10			Tập Luyện	Tham gia 10 lần Thí Luyện Bang Hội	Gold|50	
KinFuben_1	KinFuben	5	20	1		Bách Luyện Thành Cang	Tham gia 20 lần Thí Luyện Bang Hội	Gold|100	1005
DomainBattle_1	DomainBattle	1	10			Hào Kiệt 	Trong Công Thành Chiến diệt 10 người chơi địch	Gold|10	
DomainBattle_1	DomainBattle	2	50			Truy Mệnh	Trong Công Thành Chiến diệt 50 người chơi địch	Gold|30	
DomainBattle_1	DomainBattle	3	200			Vô Tình	Trong Công Thành Chiến diệt 200 người chơi địch	Gold|50	1060
DomainBattle_1	DomainBattle	4	500			La Sát	Trong Công Thành Chiến diệt 500 người chơi địch	Gold|100	1061
DomainBattle_1	DomainBattle	5	1000			Chiến Thần	Trong Công Thành Chiến diệt 1000 người chơi địch	Gold|300	1062
TeacherStudentElite_1	TeacherStudentElite	1	1			Đệ Tử Kiệt Xuất	Có 1 Đệ Tử Kiệt Xuất xuất sư	Gold|30	
TeacherStudentMaster_1	TeacherStudentMaster	1	2			Thầy Tốt Bạn Hiền	Có 2 đệ tử xuất sư	Gold|20	
TeacherStudentMaster_1	TeacherStudentMaster	2	5			Dạy Dỗ Tận Tình	Có 5 đệ tử xuất sư	Gold|50	
TeacherStudentMaster_1	TeacherStudentMaster	3	10	1		Gương Sáng Noi Theo	Có 10 đệ tử xuất sư	Gold|100	1063
TeacherStudentMaster_1	TeacherStudentMaster	4	20	1		Học Trò Khắp Chốn	Có 20 đệ tử xuất sư	Gold|300	1064
TeacherStudentMaster_1	TeacherStudentMaster	5	30	1		Nhất Đại Tôn Sư	Có 30 đệ tử xuất sư	Gold|500	1065
IDIPZan_1	IDIPZan	1	10			Bắn Tim	Thích trang cá nhân khác 10 lần	Gold|10	
IDIPPopularity_1	IDIPPopularity	1	50	1		Có Chút Danh Tiếng	Điểm nổi tiếng đạt 50	Gold|20	
IDIPPopularity_1	IDIPPopularity	2	500	1		Tài Năng	Điểm nổi tiếng đạt 500	Gold|30	
