nId	nNpcTID	szTitle	nAnswerId	szA1	szA2	szA3	szA4
168	1982	Vị vua nào từng đi tu và sáng lập nên trung tâm Phật giáo tại Yên Tử?	4	Trần Anh Tông	Trần Thái Tông 	Trần Thánh Tông	Trần Nhân Tông
169	1982	Trong tiểu thuyết Kim Dung, mẹ của Dương Quá có tên là gì?	1	Mục Niệm Từ	Hoa Tranh	Mộc Hoa Lê	Lâm Triêu Anh
170	1982	Để vượt bí cảnh tổ đội Tàng Kiếm Sơn Trang cần đạt cấp bao nhiêu?	3	30	20	15	40
171	1983	NPC Hồ Thần Y xuất hiện tại bản đồ nào?	3	Phế Tích Dạ Lang	Tương Dương	Vong Ưu Đảo	Phong Lăng Độ
172	1983	Ngoài y thuật cao thâm, Hải Thượng Lãn Ông từng nổi danh với tác phẩm ký sự nào?	4	Đại Việt Sử Ký Toàn Thư	Bình Ngô Đại Cáo	Hịch Tướng Sĩ	Thượng Kinh Ký Sự
173	1983	Là danh tướng thời chúa Nguyễn Phúc Chu, có công khai phá cùng đất Nam Bộ. Ông là ai?	4	Hoàng Diệu	Nguyễn Hữu Cầu	Lê Văn Duyệt	Nguyễn Hữu Cảnh
174	1983	Muốn kết bái sư đồ có thể đến NPC nào ở Vong Ưu Đảo?	3	Độc Cô Kiếm	Nạp Lan Tiềm Lẫm	Thượng Quan Phi Long	Nạp Lan Chân
175	1983	Quách Tĩnh thuần thục chiêu thức nào nhất trong Hàng Long Thập Bát Chưởng?	1	Kháng Long Hữu Hối	Kiến Long Tại Điền	Phi Long Tại Thiên	Thần Long Bãi Vĩ 
176	1983	Cá gì có 4 màu?	2	Cá bảy màu	Cá ngựa	Cá tứ quý	Cá tháng tư
177	1983	Đại Việt Sử Ký Toàn Thư do ai biên soạn	4	Phạm Công Trứ	Lê Quý Đôn	Lương Thế Vinh	Ngô Sĩ Liên
178	1983	Đồng hành nào sau đây là đồng hành cấp SS?	3	Nam Cung Thái Hồng	Nam Cung Diệt	Nam Cung Phi	Trương Như Mộng
179	1983	Trong tiểu thuyết Kim Dung, Không Minh Quyền của Chu Bá Thông gồm bao nhiêu lộ?	1	72 lộ	81 lộ	12 lộ	1 lộ
180	1983	Khi nào nên dùng Nữ Nhi Hồng ở Luyện Công Ngoài Thành?	3	Khi dùng Tu Luyên Châu	Có quái tinh anh	Có lửa trại	Bắt đầu đánh quái
181	1984	Cách tốt nhất để giữ lời hứa là gì?	2	Chạy trốn	Đừng hứa	Ghi vào sổ tay	Làm ngay lập tức
182	1984	Trong Thần Điêu Hiệp Lữ, Dương Quá được Triệu Chí Kính dạy cho những gì ở phái Toàn Chân?	1	Khẩu quyết	Võ công	Kiếm thuật	Kiếm trận
183	1984	Cách tốt nhất để xua tan cơn buồn ngủ là gì?	2	Đi bộ	Đi ngủ	Đi rửa mặt	Uống cà phê
184	1984	Phụ thân của NPC Trương Như Mộng và Trương Lâm Tâm là ai?	4	Dương Thiết Tâm	Nam Cung Diệt	Triệu Thăng Quyền	Trương Phong
185	1984	Trong Thần Điêu Hiệp Lữ, để an ủi Dương Quá, Hoàng Dung đã bịa ra chuyện gì?	1	Nam Hải Thần Ni	Ngọc Phong Châm	Thần Điêu Đại Hiệp	Thuốc Độc Hoa Tình
186	1984	Trong tiểu thuyết Kim Dung, tòa Cổ Mộ mà Tiểu Long Nữ ở vốn do ai xây dựng?	1	Vương Trùng Dương	Lâm Triêu Anh	Không rõ	Vô Nhai Tử
187	1984	NPC Nam Cung Phi là con trai của ai?	3	Độc Cô Kiếm	Nam Cung Diệt	Trương Như Mộng	Gia Luật Tị Li
188	1984	Trong tiểu thuyết Kim Dung, người kế nhiệm Hoàng Dung làm bang chủ Cái Bang là ai?	1	Lỗ Hữu Cước	Gia Luật Tề	Quách Phù	Hoắc Đô
189	1984	Cái gì Adam có hai mà Eva chỉ có một?	2	Chữ E	Chữ A	Chữ O	Chữ Y
190	1984	Hồng nhan tri kỷ của NPC Dương Ảnh Phong là ai?	3	Tường Vi	Tử Hiên	Nạp Lan Chân	Nguyệt My Nhi
191	1985	Trong tiểu thuyết Kim Dung, Miếu Thiết Thương là nơi có nhiều loài vật nào cư trú?	1	Quạ	Sóc	Dơi	Điêu
192	1985	NPC Trác Phi Phàm là chưởng môn môn phái nào?	3	Võ Đang	Bi Ma Sơn Trang	Tàng Kiếm Sơn Trang	Hoa Sơn
193	1985	Cái gì có tay mà không có chân?	2	Cành cây	Cái áo	Cây kem	Cái móc
194	1985	Trong tiểu thuyết Kim Dung, Thành Cát Tư Hãn khi lệnh cho Quách Tĩnh đánh nước Kim đã giao cho y vật gì?	1	Túi gấm	Kim đao	Vàng bạc	Chim điêu
195	1985	Hồng nhan tri kỷ của NPC Đường Ảnh là ai?	4	Khúc Hà	Yên Nhược Tuyết	Dương Anh	Thu Y Thủy
196	1985	Cái gì có thể chứa được những vật to lớn hơn nó rất nhiều lần?	2	Lọ thuỷ tinh	Tivi	Tủ lạnh	Lò vi sóng
197	1985	Cái gì con lợn không ăn mà con người lại ăn được?	2	Rau lang	Thịt lợn	Cám	Rau muống
198	1985	NPC Nạp Lan Tiềm Lẫm là chưởng môn phái nào?	3	Ngũ Độc Giáo	Ngũ Sắc Giáo	Vô Ưu Giáo	Thiên Nhẫn Giáo
