nId	szQuestion	nAnswerId	szA1	szA2	szA3	szA4
201	Hàng ngày, Trân Bảo Các của Bang hội tạo mới vào thời gian nào?	1	4 giờ	0 giờ	8 giờ	12 giờ
202	Minh Chủ Lệnh dùng để tăng cấp Quân Hàm nào sau đây?	2	Tiềm Long	Lăng Vân	Ngạo Thế	Kinh Hồng
203	NPC Trác Phi Phàm từng là chưởng môn phái nào?	3	Võ Đang	Bá Đao	Tàng Kiếm	Hoa Sơn
204	Tổ đội cần bao nhiêu người để mở Nhiệm vụ Trừng Ác?	2	1	3	2	4
205	Đâu là tác phẩm của Hải Thượng Lãn Ông?	4	Ức Trai Thi Tập	Bình Ngô Đại Cáo	Hịch Tướng Sĩ	Thượng Kinh Ký Sự
206	Ai là danh tướng thời chúa Nguyễn Phúc Chu, có công khai phá vùng đất Nam Bộ?	4	Hoàng Diệu	Nguyễn Hữu Cầu	Lê Văn Duyệt	Nguyễn Hữu Cảnh
207	Võ Thần Điện có mang tối đa bao nhiêu đồng hành xuất chiến?	2	1	4	2	Không thể mang
208	NPC Nạp Lan Tiềm Lẫm là chưởng môn phái nào?	3	Ngũ Độc	Ngũ Sắc	Vô Ưu	Thiên Nhẫn
209	Độ thân mật hai nhân vật đạt cấp bao nhiêu có thể Kết Bái Kim Lan?	1	30	35	40	20
210	Loại đồ chơi nào phổ biến trong tết Trung Thu tại Việt Nam?	3	Mặt nạ	Pháo hoa	Đèn ông sao	Bong bóng
211	Phiên bản đầu tiên của Võ Lâm Truyền Kỳ Mobile tên là gì?	1	Công Thành Chiến	Sơn Hà Xã Tắc	Hoa Sơn Luận Kiếm	Tình Nghĩa Giang Hồ
212	Mỗi nhân vật có thể sử dụng bao nhiêu Bí Kíp Võ Lâm (Thượng)?	3	1	2	5	3
213	Đại Việt Sử Ký Toàn Thư do ai biên soạn	4	Phạm Công Trứ	Lê Quý Đôn	Lương Thế Vinh	Ngô Sĩ Liên
214	Hoạt động Vận Tiêu Bang Hội diễn ra tại bản đồ nào?	1	Phế Tích Dạ Lang	Nhạn Đãng Sơn	Tương Dương	Vong Ưu Đảo
215	Cửa Hàng Danh Vọng của Kỳ Trân Các tạo mới vào thời gian nào?	3	0:00 hàng ngày	4:00 hàng ngày	4:00 Thứ Hai	0:00 Thứ Hai
216	Nguyên liệu nào sau đây không dùng để ghép Tàng Bảo Đồ-Cao?	2	La bàn	Mã bài	Lông sói	Chu sa
217	Phụ thân của NPC Trương Như Mộng và Trương Lâm Tâm là ai?	4	Dương Thiết Tâm	Nam Cung Diệt	Triệu Thăng Quyền	Trương Phong
218	Võ Lâm Minh Chủ đạt mốc sinh lực bao nhiêu sẽ nhận được điểm x2?	3	75	70	60	65
219	Nâng cấp Quân Hàm không thể tăng lợi ích nào sau đây?	3	Lực chiến	Sinh lực	Lượt truyền công	Kháng tất cả
220	Hồng nhan tri kỷ của NPC Đường Ảnh là ai?	4	Khúc Hà	Yên Nhược Tuyết	Dương Anh	Thu Y Thủy
221	Vật phẩm Mã Bài không thể dùng để làm gì?	2	Đổi Thú cưỡi	Bán vào Cửa Hàng	Tiến cấp Thú cưỡi	Bày Bán
222	Muốn vào Tỉ Võ Trường có thể đến NPC nào?	1	Võ Tăng	Phụng Hỉ	Tử Hiên	Hồng Nương
223	Môn phái Trường Ca khắc chế ngũ hành môn phái nào?	3	Võ Đang	Đường Môn	Nga Mi	Thiếu Lâm
224	Cách nào không thể tăng kinh nghiệm Luyện Công Ngoài Thành?	3	Tăng thân mật hảo hữu	Dùng Tu Luyện Châu	Dùng Bạch Câu Hoàn	Dùng Nữ Nhi Hồng
225	Bản đồ nào sau đây cưỡng chế dạng PK Bang Hội?	1	Phế Tích Dạ Lang	Miêu Lĩnh	Bờ Hồ Động Đình	Võ Di Sơn
226	NPC Bà chủ Ẩn Hương Lầu tên gì?	2	Hồng Nương	Công Tôn Tích Hoa	Nạp Lan Chân	Nguyệt My Nhi
227	Triều Nguyễn đã trải qua bao nhiêu đời vua?	3	10	11	13	12
228	Đồng hành nào sau đây là đồng hành cấp S?	1	Dương Anh	Triệu Vân	Sài Tung	Ngu Cơ
229	Đạo cụ nào dùng để tăng thân mật với hảo hữu Nam?	1	Cỏ May Mắn	Hoa Hồng	Kim Lan Phổ	Tam Sinh Thạch
230	Tu Luyện Châu tối đa có thể tích lũy được bao nhiêu giờ?	2	3 giờ	7 giờ	5 giờ	10 giờ
231	Tu Luyện Châu mỗi ngày sẽ hồi phục bao nhiêu phút?	1	60 phút	30 phút	90 phút	120 phút
232	Chùa Cầu (Hội An) là di tích mang kiến trúc quốc gia nào?	3	Việt Nam	Hoa Kỳ	Nhật Bản	Hàn Quốc
233	Lễ hội Té Nước là truyền thống của nước nào?	1	Thái Lan	Ấn Độ	Nhật Bản	Hàn Quốc
234	Sông dài nhất thế giới là?	3	Sông Volga	Trường Giang	Sông Nin	Sông Amazon
235	Có 10 cây nến, thổi tắt 3 cây, vậy còn mấy cây?	4	7	8	9	10
236	Đền Taj Mahal ở nước nào?	3	Thái Lan	Việt Nam	Ấn Độ	Indonesia
237	Tác phẩm Chiến Tranh và Hòa Bình của tác giả nào?	1	Lev Tolstoy	Troyepolsky	Sholokhov	Ostrovsky
238	Hành tinh nào gần Mặt Trời nhất trong Hệ Mặt Trời?	1	Sao Thủy	Sao Kim	Sao Hỏa	Sao Mộc
239	Sao Hỏa có bao nhiêu mặt trăng?	3	0	1	2	3
240	Hành tinh có nhiều vệ tinh nhất Hệ Mặt Trời là?	2	Sao Thủy	Sao Mộc	Sao Thiên Vương	Sao Hải Vương
241	Som tam là món nộm trứ danh của nước nào?	2	Hàn Quốc	Thái Lan	Lào	Nhật Bản
242	Ẩm thực Hàn Quốc nổi danh với món ăn nào?	3	Vịt quay	Chả cá	Kim chi	Cơm chiên
243	Paella là đặc sản cơm thập cẩm ở đâu?	1	Tây Ban Nha	Bồ Đào Nha	Thổ Nhĩ Kỳ	Pháp
244	Đâu là quê hương của món mì spaghetti?	4	Mỹ	Pháp	Anh	Italy
245	Soto là món soup nổi tiếng của nước nào?	4	Sri Lanka	Malaysia	Mông Cổ	Indonesia
246	Hoa tulip là quốc hoa của nước nào?	1	Hà Lan	Đan Mạch	Pháp	Ba Lan
247	Hình ảnh nào xuất hiện trên quốc kỳ Canada?	2	Hoa hồng	Lá phong	Ngôi sao	Mặt trăng
248	Quốc gia nào sau đây không được trị vì bởi Nữ hoàng Elizabeth II?	4	New Zealand	Anh	Canada	Ireland
249	Nhân vật Tấm chưa từng hóa thân thành vật gì?	3	Khung cửi	Vàng anh	Cá bống	Quả thị
250	Thành phố nào của Việt Nam không giáp biển?	1	Cần Thơ	Hải Phòng	Đà Nẵng	Khánh Hòa
251	Cửa khẩu Hữu Nghị nằm ở tỉnh nào của nước ta?	2	Quảng Ninh	Lạng Sơn	Cao Bằng	Hà Giang
